,id,region,profit,cost
0,1,Australia,0.69,678663.19
0,2,Russia,0.77,671268.07
0,3,Russia,0.83,535796.69
0,4,Brazil,0.49,512503.28
0,5,Canada,0.18,294502.08
0,6,UK,0.96,151379.06
0,7,UK,0.02,375765.58
0,8,UK,0.05,911755.02
0,9,Sweden,0.57,929130.49
0,10,Singapore,0.48,555074.9
0,11,US,0.17,172370.14
0,12,Sweden,0.43,364677.76
0,13,India,0.95,629827.51
0,14,Sweden,0.81,349377.74
0,15,Canada,0.24,879929.91
0,16,Canada,0.95,664919.15
0,17,Australia,0.38,860884.13
0,18,UK,0.76,986008.77
0,19,Russia,0.59,477343.29
0,20,Brazil,0.28,132245.02
0,21,Canada,0.42,377546.95
0,22,US,0.75,496676.59
0,23,Australia,0.25,773881.89
0,24,Singapore,0.38,480306.76
0,25,India,0.95,210508.29
0,26,India,0.89,691619.75
0,27,India,0.43,231091.78
0,28,US,0.16,614312.89
0,29,India,0.72,107835.15
0,30,Russia,0.72,263631.53
0,31,Canada,0.31,947751.35
0,32,Brazil,0.76,413567.34
0,33,Canada,0.08,952598.02
0,34,UK,0.35,730850.38
0,35,Canada,0.54,123844.07
0,36,US,0.63,900707.7
0,37,Brazil,0.99,230332.49
0,38,Australia,0.39,676296.38
0,39,Canada,0.51,989882.04
0,40,US,0.85,184435.61
0,41,Canada,0.69,647344.18
0,42,Brazil,0.63,905836.33
0,43,Canada,0.0,402664.17
0,44,Russia,0.36,425927.86
0,45,SriLanka,0.67,817697.75
0,46,Australia,0.25,793255.85
0,47,US,0.89,596903.15
0,48,SriLanka,0.16,852559.05
0,49,Russia,0.53,833396.21
0,50,Russia,0.04,651574.09
0,51,UK,0.74,218660.52
0,52,Canada,0.6,932298.73
0,53,SriLanka,0.12,709509.47
0,54,UK,0.84,419487.55
0,55,SriLanka,0.59,387237.15
0,56,US,0.94,536225.9
0,57,Singapore,0.63,315736.86
0,58,Australia,0.89,401354.68
0,59,Canada,0.8,311283.62
0,60,Singapore,0.55,258573.89
0,61,US,0.31,850370.83
0,62,Sweden,0.46,558482.98
0,63,India,0.41,979576.96
0,64,Canada,0.37,248729.17
0,65,Russia,0.88,376414.28
0,66,India,0.85,153800.22
0,67,Russia,0.63,553963.86
